index,Track,Artist,Danceability,Energy,Key,Loudness,Mode,Valence,Tempo,Time Signature,Target
613,#1,Nelly,0.692,0.588,7,-6.086,1,0.45,180.027,4,1
5669,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,0.759,0.675,9,-5.148,0,0.328,89.642,4,1
1700,(B) The Decade Of Statues,Between The Buried And Me,0.159,0.939,9,-6.044,1,0.19,188.078,4,0
717,(David Bowie I Love You) Since I Was Six,The Brian Jonestown Massacre,0.201,0.647,10,-6.842,1,0.32,115.609,4,0
252,(Do Not Feed The) Oyster,Stephen Malkmus,0.451,0.498,2,-8.535,1,0.266,87.373,4,0
1073,(Got My) Rock Pants On,Turing Machine,0.248,0.814,2,-6.542,1,0.288,160.084,4,0
1267,(Hot S**t) Country Grammar,Nelly,0.889,0.655,2,-6.659,1,0.609,81.387,4,1
5736,(I Can't Get No) Satisfaction,Sky Saxon,0.531,0.85,2,-5.379,1,0.739,134.945,4,0
4009,(I Hate) Everything About You,Three Days Grace,0.498,0.83,6,-5.157,0,0.453,89.342,4,1
317,(I'm Not Your) Steppin' Stone,Sky Saxon,0.49,0.83,2,-4.434,1,0.67,130.073,4,0
1405,(I'm Not) Your Stepping Stone,Johnny Thunders,0.242,0.636,9,-8.582,0,0.532,129.195,4,0
609,(If You're Wondering If I Want You To) I Want You To,Weezer,0.695,0.873,11,-5.722,0,0.799,110.021,4,1
1900,(Outro) Metal Fingers Scraped the Chalkboard,Scienz Of Life,0.684,0.727,0,-10.116,1,0.677,100.355,4,0
5285,(Reach Up For The) Sunrise,Duran Duran,0.468,0.977,0,-4.048,1,0.344,129.955,4,1
3575,(There's Gotta Be) More To Life,Stacie Orrico,0.58,0.922,1,-3.785,1,0.649,89.841,4,1
3254,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,0.711,0.761,8,-3.04,1,0.718,95.824,4,1
5863,(You Drive Me) Crazy,Britney Spears,0.748,0.939,0,-4.288,0,0.96,104.001,4,1
4932,(You Want To) Make A Memory,Bon Jovi,0.51,0.417,0,-7.583,1,0.145,148.01,4,1
1931,... Guitars,Ultra Milkmaids,0.552,0.749,10,-9.881,0,0.119,125.791,4,0
1176,...And The Great Cold Death Of The Earth,Agalloch,0.263,0.56,0,-6.966,1,0.0397,139.305,3,0
4279,"...sexy-Mini-Super-Flower-Pop-Op-Alles Ist Drin', Pt. 1 - Mascara Mix",To Rococo Rot,0.581,0.665,11,-14.101,0,0.741,109.76,3,0
5400,0952 - Remastered 10th Anniversary Edition,Ólafur Arnalds,0.221,0.093,3,-23.238,1,0.127,102.96,4,0
4930,1 Thing,Amerie,0.612,0.961,10,-3.078,0,0.867,129.873,5,1
5652,"1, 2 Step",Ciara Featuring Missy Elliott,0.944,0.511,5,-10.96,0,0.842,113.046,4,1
46,"1, 2, 3, 4",Plain White T's,0.458,0.55,2,-7.092,1,0.56,90.56,4,1
2126,"10,000 Angry Hardcore Kids - Wormwood Album Version",Few Left Standing,0.368,0.9,6,-9.03,0,0.346,138.358,3,0
1672,100 Years,Five For Fighting,0.643,0.569,7,-7.459,1,0.275,120.507,4,1
2192,100%,Angelspit,0.748,0.907,10,-4.631,0,0.761,135.026,4,0
70,1000 Estrellas,Charlie 3,0.473,0.722,5,-5.176,1,0.549,149.625,4,0
4377,11 Fornstora hjältar,Karolinerna,0.366,0.429,0,-10.308,1,0.235,170.264,4,0
3467,1234,Feist,0.71,0.484,2,-7.415,1,0.576,109.951,4,1
2756,19 Somethin',Mark Wills,0.58,0.816,4,-5.165,1,0.814,89.938,4,1
1172,1901,Phoenix,0.591,0.831,0,-5.647,1,0.705,144.084,4,1
2692,1973,James Blunt,0.72,0.668,9,-7.928,1,0.768,123.007,4,1
